gameMap, player, reference_timestep, goal, pred_actions, true_actions
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,A,timestep1,Stag2,RR,RRD
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Hare1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Hare1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Hare1,UU,UUL
StagHunt_a,B,timestep1,Stag1,UU,UUL
StagHunt_a,B,timestep1,Hare1,UU,UUL
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag1,LL,LLU
StagHunt_a,C,timestep1,Hare1,LL,LLU
StagHunt_a,C,timestep1,Stag1,LL,LLU
StagHunt_a,C,timestep1,Stag1,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Indeterminate,LL,LLU
StagHunt_a,C,timestep1,Stag1,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag2,LL,LLU
StagHunt_a,C,timestep1,Stag1,LL,LLU
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,A,timestep1,Hare1,UD,ULL
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,B,timestep1,Stag1,RR,RRR
StagHunt_b_T012,C,timestep1,Hare2,DD,DDR
StagHunt_b_T012,C,timestep1,Stag1,DD,DDR
