gameMap,player,reference_timestep,goal,pred_actions,true_actions
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,A,timestep2,Stag2,R,RRD
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,B,timestep2,Hare1,U,UUL
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Hare1,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_a,C,timestep2,Stag2,L,LLU
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,A,timestep2,Hare1,U,ULL
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,B,timestep2,Stag1,R,RRR
StagHunt_b_T012,C,timestep2,Stag2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Stag2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_b_T012,C,timestep2,Hare2,D,DDR
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Hare1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,A,timestep2,Stag1,L,LDD
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Hare2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Stag2,R,RRR
StagHunt_c_T23,B,timestep2,Hare2,R,RRR
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_c_T23,C,timestep2,Stag2,D,DDD
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
StagHunt_d,A,timestep2,Stag1,U,UR
